DataBase ID,d,bw,a_d,fc,pf,Ef,Vexp,Type,Ser
SSP-FRP 1,140,1000,6.2,49.7,0.52,144,119,CFRP,1
SSP-FRP 2,140,1000,6.2,49.6,0.62,144,141,CFRP,2
SSP-FRP 3,140,1000,6.2,52,0.72,144,159,CFRP,3
SSP-FRP 4,140,1000,6.2,44.8,0.83,144,157,CFRP,4
SSP-FRP 5,140,1000,6.2,45.6,0.94,140,173,CFRP,5
SSP-FRP 6,140,1000,6.2,48.6,1.1,140,186,CFRP,6
SSP-FRP 7,140,1000,6.2,41.3,1.25,140,192,CFRP,7
SSP-FRP 8,140,1000,6.2,76,0.72,144,168,CFRP,8
SSP-FRP 9,140,1000,6.2,86.2,0.72,144,137,CFRP,9
SSP-FRP 10,305,250,2.5,39.8,0.86,46.3,61,GFRP,10
SSP-FRP 11,305,250,3.5,39.8,0.86,46.3,43.7,GFRP,11
SSP-FRP 12,310,250,2.5,34.5,0.42,144,64.6,CFRP,12
SSP-FRP 13,310,250,3.5,34.5,0.42,144,58.9,CFRP,13
SSP-FRP 14,440,250,2.5,44.7,0.9,46.3,77.2,GFRP,14
SSP-FRP 15,584,250,2.5,37.4,0.91,46.3,103.7,GFRP,15
SSP-FRP 16,460,300,2.5,42.4,0.45,144,74.1,CFRP,16
SSP-FRP 17,594,250,2.5,37,0.43,144,112.9,CFRP,17
SSP-FRP 18,310,300,2.5,37.4,0.33,46.3,72.7,GFRP,18
SSP-FRP 19,296,250,2.5,39.8,1.43,46.3,65.5,GFRP,19
SSP-FRP 20,296,250,2.5,42.4,1.43,46.3,70.9,GFRP,20
SSP-FRP 21,455,250,2.5,37.4,0.35,46.3,68,GFRP,21
SSP-FRP 22,434,250,2.5,37.4,1.47,46.3,92.2,GFRP,22
SSP-FRP 23,310,250,2.5,42.4,0.18,144,58.7,CFRP,23
SSP-FRP 24,310,250,2.5,34.5,0.67,144,72.5,CFRP,24
SSP-FRP 25,460,250,2.5,42.4,0.22,144,70.3,CFRP,25
SSP-FRP 26,439,250,2.5,42.4,0.65,144,82.5,CFRP,26
SSP-FRP 27,449,300,2.5,74.2,0.69,144,100.4,CFRP,27
SSP-FRP 28,594,250,2.5,74.2,0.65,144,146.1,CFRP,28
SSP-FRP 29,442,300,2.5,74.2,1.27,46.3,116.1,GFRP,29
SSP-FRP 30,578,250,2.5,74.2,1.38,46.3,155.2,GFRP,30
SSP-FRP 31,310,250,2.5,65.3,0.42,144,71.6,CFRP,31
SSP-FRP 32,310,250,2.5,88.3,0.42,144,77.9,CFRP,32
SSP-FRP 33,291,250,2.5,65.3,0.89,46.3,75.6,GFRP,33
SSP-FRP 34,291,250,2.5,88.3,0.89,46.3,80.2,GFRP,34
SSP-FRP 35,279,178,2.69,24.1,2.3,40,53.4,GFRP,35
SSP-FRP 36,287,178,2.61,24.1,0.8,40,36,GFRP,36
SSP-FRP 37,287,178,2.61,24.1,1.3,40,40,GFRP,37
SSP-FRP 38,167,150,4,27.2,0.45,38,12.5,GFRP,38
SSP-FRP 39,212,150,3.14,27.2,0.71,32,17.5,GFRP,39
SSP-FRP 40,262,150,2.54,27.2,0.86,32,25,GFRP,40
SSP-FRP 41,162,150,4.11,47.2,1.39,32,17.5,GFRP,41
SSP-FRP 42,213,150,3.13,47.2,1.06,32,27.5,GFRP,42
SSP-FRP 43,262,150,2.54,47.2,1.15,32,30,GFRP,43
SSP-FRP 44,370,200,2.702702703,21.6,0.12,141.44,32.88,CFRP,44
SSP-FRP 45,370,200,2.702702703,21.6,0.24,141.44,36.115,CFRP,45
SSP-FRP 46,277,200,3.610108303,28,0.16,141.44,32.88,CFRP,46
SSP-FRP 47,277,200,3.610108303,28,0.32,141.44,32.88,CFRP,47
SSP-FRP 48,170,200,5.882352941,23.2,0.26,141.44,17.58,CFRP,48
SSP-FRP 49,170,200,5.882352941,23.2,0.52,141.44,20.75,CFRP,49
SSP-FRP 50,937,450,3.26,46,0.51,37,135,GFRP,50
SSP-FRP 51,438,450,3.48,35,0.51,37,86,GFRP,51
SSP-FRP 52,857,450,3.56,36,2.23,37,232,GFRP,52
SSP-FRP 53,405,450,3.77,35,2.36,37,138,GFRP,53
SSP-FRP 54,188,450,4.05,35,2.54,37,74,GFRP,54
SSP-FRP 55,170,150,4.12,20,1.33,46,12.7,GFRP,55
SSP-FRP 56,170,150,4.12,20,2.22,46,13.7,GFRP,56
SSP-FRP 57,170,150,4.12,26.6,1.33,46,14.2,GFRP,57
SSP-FRP 58,170,150,4.12,26.6,2.22,46,15.4,GFRP,58
SSP-FRP 59,333.5,150,2.7,30.16,0.76,46,31.32,GFRP,59
SSP-FRP 60,333.5,150,2.7,30.16,0.76,46,35.48,GFRP,60
SSP-FRP 61,433.5,150,2.59,38.04,0.73,46,43.9,GFRP,61
SSP-FRP 62,433.5,150,2.59,36.64,0.73,46,49.96,GFRP,62
SSP-FRP 63,233.5,150,2.66,36.64,0.78,46,37.26,GFRP,63
